Infectious bursal disease virus cu-1
Infectious pancreatic necrosis virus
Influenza a virus
Influenza a virus starin h7n1
Inia geoffrensis
Ip_human             reviewed;         301 aa
Ipomoea batatas
Isometrus maculatus
Issatchenkia orientalis
Japanese encephalitis virus
Junin virus
Juniperus ashei
Juniperus virginiana
Kaposi's sarcoma-associated herpesvirus
Kassina senegalensis
Katsuwonus pelamis
Kazachstania exigua
Kazachstania unispora
Kineococcus radiotolerans srs30216
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella planticola
Klebsiella pneumoniae
Kluyveromyces lactis
Kogia simus
Kribbella flavida dsm 17836
Ktedonobacter racemifer dsm 44963
Lactate dehydrogenase elevating virus
Lactate dehydrogenase-elevating
Lactate-dehydrogenase-elevating virus
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus confusus
Lactobacillus delbrueckii
Lactobacillus helveticus
Lactobacillus johnsonii
Lactobacillus leichmannii
Lactobacillus paracasei
Lactobacillus pentosus
Lactobacillus sakei
Lactobacillus sp.
Lactococcus lactis
Lactococcus lactis lactis
Lactococcus lactis subsp.
Lactococcus lactis subsp. lactis
Lactococcus phage
Lagostomus maximus
Lagothrix lagotricha
Lake victoria marburgvirus
Lama guanicoe
Lampanyctus crocodilus
Lampetra tridentata
Lassa virus
Lateolabrax japonicus
Legionella pneumophila
Legionella pneumophila subsp.
Leishmania amazonensis
Leishmania braziliensis
Leishmania guyanensis
Leishmania major
Leishmania tarentolae
Lelystad virus
Lens culinaris
Lens culinaris subsp. culinaris
Leucaena leucocephala
Leuconostoc gelidum
Leuconostoc mesenteroides
Leucothrix mucor
Lilium longiflorum
Liparis tunicatus
Lipomyces kononenkoae
Listeria monocytogenes
Litoria aurea
Lmmv
Locusta migratoria
Lolium perenne
Lophius americanus
Lordsdale virus
Lotus japonicus
Lucina pectinata
Lumbricus rubellus
Lupinus luteus
Lutra lutra
Lycaon pictus
Lymnaea stagnalis
Lyngbya sp. pcc 8106
Macaca fascicularis
Macaca fuscata
Macaca fuscata fuscata
Macaca mulatta
Macaca nemestrina
Macaca speciosa
Macadamia integrifolia
Machupo virus
Macrobrachium malcolmsonii
Macrocallista nimbosa
Macropus eugenii
Macropus giganteus
Macropus rufus
Magnaporthe grisea
Malus domestica
Mammalian orthoreovirus 1 lang
Manduca sexta
Mangifera indica
Manihot esculenta
Marthasterias glacialis
Mastigocladus laminosus
Measles virus
Medicago sativa
Megaptera novaeangliae
Megasphaera elsdenii
Meiothermus ruber dsm 1279
Meleagris gallopavo
Meles meles
Mesobuthus martensii
Mesocricetus auratus
Mesoplodon carlhubbsi
Methanobacterium ivanovii
Methanobacterium thermoautotrophicum
Methanocaldococcus infernus me
Methanocaldococcus jannaschii
Methanocaldococcus jannaschii dsm 2661
Methanocaldococcus sp. fs406-22
Methanocaldococcus vulcanius m7
Methanococcus aeolicus nankai-3
Methanococcus maripaludis
Methanococcus voltae
Methanoculleus marisnigri jr1
Methanopyrus kandleri
Methanopyrus kandleri av19
Methanosarcina acetivorans
Methanosarcina barkeri
Methanosarcina mazei
Methanosarcina thermophila
Methanosphaerula palustris e1-9c
Methanospirillum hungatei jf-1
Methanothermus fervidus
Methylobacterium extorquens
Methylobacterium organophilum
Methylococcus capsulatus
Methylomonas aminofaciens
Methylomonas j
Methylophilus methylotrophus
Methylophilus sp.
Methylosinus trichosporium
Metridium senile
Microbacterium luteolum
Micrococcus luteus
Microcoleus chthonoplastes pcc 7420
Microcystis aeruginosa nies-843
Microcystis aeruginosa pcc 7806
Microcystis sp.
Micromonospora sp. atcc 39149
Micromonospora viridifaciens
Miniopterus schreibersi
Mirabilis jalapa
Mirounga leonina
Moloney murine leukemia
Moloney murine leukemia virus
Momordica charantia
Moorella thermoacetica
Moraxella bovis
Morganella morganii
Mouse mammary tumor
Mouse mammary tumor virus
Murid herpesvirus 1
Murine coronavirus
Murine cytomegalovirus (strain smith)
Murine hepatitis virus strain a59
Mus musculus
Mus musculus (mouse)
Mus musculus bactrianus
Musca domestica
Mustelus antarcticus
Mycobacterium bovis
Mycobacterium bovis bcg str. pasteur 1173p2
Mycobacterium leprae
Mycobacterium leprae br4923
Mycobacterium paratuberculosis
Mycobacterium phage
Mycobacterium phage phlyer
Mycobacterium phage pipefish
Mycobacterium smegmatis
Mycobacterium smegmatis str. mc2 155
Mycobacterium tuberculosis
Mycobacterium tuberculosis 94_m4241a
Mycobacterium tuberculosis h37rv
Mycobacterium tuberculosis k85
Mycobacterium tuberculosis str. haarlem
Mycobacterium tuberculosis t17
Mycobacterium vanbaalenii
Mycoplasma arginini
Mycoplasma hyorhinis
Mytilus edulis
Myxococcus xanthus
Naja haje annulifera
Naja kaouthia
Naja naja
Narcissus pseudonarcissus
Natrialba magadii atcc 43099
Naumovia castellii
Naumovia dairenensis
Neisseria gonorrhoeae
Neisseria meningitidis serogroup
Neisseria meningitidis serogroup b
Nereis diversicolor
Neurospora crassa
Newcastle disease virus
Nicotiana alata
Nicotiana langsdorffii x nicotiana sanderae
Nicotiana tabacum
Nitrosomonas europaea
Nocardia farcinica
Nocardia farcinica ifm 10152
Nodamura virus
Norovirus genogroup 2
Norwalk virus
Nostoc commune
Nostoc muscorum
Nostoc punctiforme pcc 73102
Nostoc sp. pcc 7120
Nudaurelia capensis omega virus
Nycticebus coucang
Oceanospirillum linum
Ochotona princeps
Ochrobactrum anthropi
Odontoglossum ringspot
Olea europaea
Oligotropha carboxidovorans
Olisthodiscus luteus
Oliveros virus
Oncorhynchus keta
Oncorhynchus mykiss
Onion yellows
Ophiostoma ulmi
Opisthorchis viverrini
Orcinus orca
Orientia tsutsugamushi
Ornithorhynchus anatinus
Orpinomyces sp.
Orycteropus afer
Oryctolagus cuniculus
Oryza sativa
Oryza sativa japonica group
Oryza sativa subsp. japonica
Oscillatoria agardhii
Oscillatoria sp. pcc 6506
Otocyon megalotis
Ovis aries
Oxalobacter formigenes
Pacifastacus leniusculus
Paenibacillus alvei
Paenibacillus barcinonensis
Paenibacillus macerans
Paenibacillus polymyxa
Pagothenia bernacchii
Pagothenia borchgrevinki
Pan paniscus
Pan troglodytes
Panax ginseng
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Papaya mosaic virus
Papio cynocephalus
Parabacteroides merdae cag:48
Paracaudina chilensis
Paracoccus denitrificans
Paracoccus halodenitrificans (atcc 12084)
Paracoccus pantotrophus
Paracoccus versutus
Paralichthys olivaceus
Paramecium caudatum
Paramecium tetraurelia
Parasponia rigida
Parechinus angulosus
Pasteurella multocida
Pastinaca sativa
Patella granatina
Patinopecten sp.
Pea enation mosaic virus
Pectobacterium carotovorum subsp. carotovorum
Pectobacterium cypripedii
Pediococcus acidilactici
Pedobacter heparinus
Pelobacter acidigallici
Penaeus vannamei
Penicillium camembertii
Penicillium chrysogenum
Penicillium citrinum
Penicillium funiculosum
Peptoclostridium difficile
Peptoclostridium difficile 630
Periplaneta americana
Perodicticus potto
Persephonella marina ex-h1
Pestivirus giraffe-1 h138
Petunia hybrida
"Ph11, mpp11, zrf1;os   homo sapiens (human)"
"Ph4, nf90;os   homo sapiens (human)"
Phalacrocorax filamentosus
Phalaris aquatica
Phanerochaete chrysosporium
Phascolopsis gouldii
Phaseolus angularis
Phaseolus aureus
Phaseolus lunatus
Phaseolus vulgaris
Phleum pratense
Phoca sibirica
Phoca vitulina
Phocoenoides dalli
Phocoenoides phocoena
Photobacterium leiognathi
Photobacterium profundum
Photobacterium sp.
Photorhabdus luminescens
